4.655560521582958744e-01 1.614764642648549575e-01 3.962244754366328614e-01
2.277001991014101501e-01 6.519119775753947632e-01 2.118046972888842916e-01
8.221762447469868063e-01 3.866091703458507389e-02 4.553421073877146341e-01
haha6.555789052185744259e-01 7.323811277757110716e-01 4.777034798952690675e-01
2.673608494000471181e-01 3.359341692285572334e-01 4.454525134252050877e-01
9.637768563096169583e-01 2.263183026683585064e-01 4.528658408991286244e-01
haha3.006952640990184777e-01 6.802147291658311445e-01 5.334538412698871523e-01
2.267352459614069282e-03 7.273885769046944949e-01 3.975704263635604363e-01
7.218353911266230938e-01 8.624553476294981591e-01 2.239909474631877062e-01
haha
